station_id,ura,avg_load
2,7,0.52770027
2,8,0.49548942
2,9,0.44049041
2,10,0.42962470
2,11,0.43897678
2,12,0.44174756
2,13,0.43980401
2,14,0.44105557
2,15,0.44945661
2,16,0.50359366
2,17,0.56970040
2,18,0.55823146
2,19,0.51938595
2,20,0.50612792
2,21,0.50380338
3,7,0.55681226
3,8,0.55819670
3,9,0.56147565
3,10,0.55882522
3,11,0.55949467
3,12,0.56179652
3,13,0.56155080
3,14,0.56033130
3,15,0.56022583
3,16,0.55715986
3,17,0.55680189
3,18,0.56092509
3,19,0.56789190
3,20,0.56959578
3,21,0.56894336
4,7,0.47086250
4,8,0.51880511
4,9,0.54302284
4,10,0.53400720
4,11,0.52540984
4,12,0.52492652
4,13,0.52582980
4,14,0.51633270
4,15,0.51017383
4,16,0.47263229
4,17,0.41797449
4,18,0.40827142
4,19,0.41943254
4,20,0.43278506
4,21,0.44711054
5,7,0.41494586
5,8,0.42493755
5,9,0.44155285
5,10,0.45429168
5,11,0.45432273
5,12,0.45141232
5,13,0.45220937
5,14,0.45441702
5,15,0.45264701
5,16,0.43757941
5,17,0.42183933
5,18,0.41617364
5,19,0.41391146
5,20,0.41453456
5,21,0.41532109
6,7,0.48484189
6,8,0.53791095
6,9,0.54575082
6,10,0.54161017
6,11,0.53696255
6,12,0.53906654
6,13,0.54632943
6,14,0.54650512
6,15,0.54345515
6,16,0.52463110
6,17,0.47700385
6,18,0.47825237
6,19,0.49143395
6,20,0.49609904
6,21,0.49404022
7,7,0.56569325
7,8,0.54742148
7,9,0.54794326
7,10,0.55058037
7,11,0.55241538
7,12,0.55406408
7,13,0.55594228
7,14,0.55476196
7,15,0.55332755
7,16,0.54937501
7,17,0.55239031
7,18,0.57155471
7,19,0.58458766
7,20,0.58161269
7,21,0.57839855
8,7,0.50247721
8,8,0.48139639
8,9,0.47765061
8,10,0.48264305
8,11,0.48757253
8,12,0.49790946
8,13,0.48783106
8,14,0.49041716
8,15,0.48981400
8,16,0.48929605
8,17,0.50201219
8,18,0.50863850
8,19,0.51147498
8,20,0.51341855
8,21,0.51498688
9,7,0.56366543
9,8,0.54659605
9,9,0.53929914
9,10,0.53260856
9,11,0.53010159
9,12,0.53160596
9,13,0.52544990
9,14,0.52164092
9,15,0.52323472
9,16,0.52056724
9,17,0.52119748
9,18,0.53316454
9,19,0.54838256
9,20,0.55654981
9,21,0.55998611
10,7,0.41253640
10,8,0.43725046
10,9,0.45109283
10,10,0.45770585
10,11,0.45752732
10,12,0.43940513
10,13,0.44224619
10,14,0.44230972
10,15,0.43676111
10,16,0.40839403
10,17,0.39916244
10,18,0.40334426
10,19,0.41106555
10,20,0.41552312
10,21,0.41757338
11,7,0.48198975
11,8,0.49383796
11,9,0.50589842
11,10,0.50553968
11,11,0.50606548
11,12,0.51033658
11,13,0.52455582
11,14,0.52690903
11,15,0.52282988
11,16,0.50821820
11,17,0.49398673
11,18,0.49549160
11,19,0.49938995
11,20,0.49815484
11,21,0.49496278
12,7,0.53245526
12,8,0.53986267
12,9,0.56824083
12,10,0.57564866
12,11,0.57540380
12,12,0.57624396
12,13,0.57629854
12,14,0.57686492
12,15,0.57584079
12,16,0.57137155
12,17,0.56659195
12,18,0.55796655
12,19,0.54880027
12,20,0.54403552
12,21,0.54065802
13,7,0.44534139
13,8,0.44187063
13,9,0.45674195
13,10,0.46851341
13,11,0.46647214
13,12,0.46764355
13,13,0.46808662
13,14,0.46599215
13,15,0.46733808
13,16,0.46347049
13,17,0.44564651
13,18,0.44246048
13,19,0.45115468
13,20,0.45556070
13,21,0.45709945
14,7,0.44349347
14,8,0.44658567
14,9,0.45201387
14,10,0.46025339
14,11,0.46712791
14,12,0.46879134
14,13,0.47049798
14,14,0.47391184
14,15,0.47523992
14,16,0.47450772
14,17,0.47120337
14,18,0.46451300
14,19,0.46430080
14,20,0.46458874
14,21,0.46314594
16,7,0.49560387
16,8,0.47261463
16,9,0.46414761
16,10,0.46060187
16,11,0.45874091
16,12,0.46097442
16,13,0.46114016
16,14,0.46080397
16,15,0.46029833
16,16,0.45895076
16,17,0.46062884
16,18,0.46379609
16,19,0.47612715
16,20,0.48734643
16,21,0.49275601
21,7,0.44013830
21,8,0.43813273
21,9,0.43994408
21,10,0.44069885
21,11,0.43888006
21,12,0.43720168
21,13,0.43820668
21,14,0.43847169
21,15,0.43835843
21,16,0.44029958
21,17,0.44010347
21,18,0.44194967
21,19,0.44094058
21,20,0.44311970
21,21,0.44334503
22,7,0.47785015
22,8,0.46653993
22,9,0.46174631
22,10,0.46102499
22,11,0.46067215
22,12,0.46384658
22,13,0.46582725
22,14,0.46552100
22,15,0.46633457
22,16,0.47255413
22,17,0.48596008
22,18,0.48847562
22,19,0.48705694
22,20,0.48661001
22,21,0.48807267
23,7,0.48097906
23,8,0.48203179
23,9,0.48499178
23,10,0.48597351
23,11,0.48406905
23,12,0.47986295
23,13,0.48065276
23,14,0.48147284
23,15,0.48167798
23,16,0.48048495
23,17,0.48077943
23,18,0.48131965
23,19,0.48091162
23,20,0.48040587
23,21,0.47993050
24,7,0.48036790
24,8,0.48270537
24,9,0.48760915
24,10,0.49089530
24,11,0.49252848
24,12,0.49371707
24,13,0.49419724
24,14,0.49378164
24,15,0.49336812
24,16,0.49233103
24,17,0.49128643
24,18,0.48970134
24,19,0.48577681
24,20,0.48193926
24,21,0.47955693
25,7,0.43509280
25,8,0.45147017
25,9,0.46035529
25,10,0.46312366
25,11,0.46240697
25,12,0.46140650
25,13,0.46129212
25,14,0.46068388
25,15,0.45949514
25,16,0.45166515
25,17,0.43291344
25,18,0.43202838
25,19,0.43533787
25,20,0.43550651
25,21,0.43408591
26,7,0.51671790
26,8,0.52307661
26,9,0.53020394
26,10,0.53174791
26,11,0.52782967
26,12,0.51330576
26,13,0.50538946
26,14,0.51047704
26,15,0.51328349
26,16,0.51238521
26,17,0.51116166
26,18,0.50958434
26,19,0.51097912
26,20,0.51252127
26,21,0.51244325
27,7,0.42771871
27,8,0.44017928
27,9,0.49072537
27,10,0.55187312
27,11,0.56167079
27,12,0.55473961
27,13,0.55439025
27,14,0.55405309
27,15,0.55250095
27,16,0.53921614
27,17,0.49620590
27,18,0.46006729
27,19,0.44545420
27,20,0.44027447
27,21,0.43517485
28,7,0.51559675
28,8,0.53560994
28,9,0.47986767
28,10,0.42413210
28,11,0.41681154
28,12,0.42256415
28,13,0.42535844
28,14,0.42530545
28,15,0.42466827
28,16,0.43849569
28,17,0.48326328
28,18,0.51167735
28,19,0.49692729
28,20,0.49493326
28,21,0.49889416
29,7,0.48284333
29,8,0.47854719
29,9,0.46114658
29,10,0.45250538
29,11,0.44781217
29,12,0.44560238
29,13,0.44430274
29,14,0.44383513
29,15,0.44526971
29,16,0.45487125
29,17,0.47795344
29,18,0.49041609
29,19,0.48764628
29,20,0.48315247
29,21,0.48135069
30,7,0.52219203
30,8,0.48181440
30,9,0.48042031
30,10,0.48823604
30,11,0.49098591
30,12,0.49154243
30,13,0.49306486
30,14,0.49174098
30,15,0.48889420
30,16,0.48714107
30,17,0.49418437
30,18,0.50567521
30,19,0.53089264
30,20,0.53812801
30,21,0.54084059
31,7,0.46328187
31,8,0.47285033
31,9,0.51296399
31,10,0.53246830
31,11,0.53620579
31,12,0.53442716
31,13,0.53032090
31,14,0.52878515
31,15,0.52631336
31,16,0.50793492
31,17,0.45947424
31,18,0.43108346
31,19,0.43992093
31,20,0.44890305
31,21,0.45570416
32,7,0.40043702
32,8,0.39964216
32,9,0.44718161
32,10,0.48877363
32,11,0.48921083
32,12,0.48359825
32,13,0.48279854
32,14,0.47990649
32,15,0.47799744
32,16,0.46006850
32,17,0.40626186
32,18,0.36718510
32,19,0.37411053
32,20,0.39445528
32,21,0.40202601
33,7,0.45354621
33,8,0.43480323
33,9,0.42549807
33,10,0.42378964
33,11,0.42422011
33,12,0.42371281
33,13,0.42337268
33,14,0.42401718
33,15,0.42477728
33,16,0.42561357
33,17,0.42789383
33,18,0.44287413
33,19,0.45493395
33,20,0.45848393
33,21,0.46227928
34,7,0.45619080
34,8,0.44844566
34,9,0.42590883
34,10,0.41382654
34,11,0.41361588
34,12,0.41614268
34,13,0.41858022
34,14,0.41784301
34,15,0.41883574
34,16,0.42373991
34,17,0.43602885
34,18,0.44612642
34,19,0.44576927
34,20,0.45195458
34,21,0.45648968
35,7,0.56700419
35,8,0.56395880
35,9,0.56172178
35,10,0.56387243
35,11,0.56031816
35,12,0.55740501
35,13,0.56111321
35,14,0.56425188
35,15,0.56067017
35,16,0.55924703
35,17,0.56329120
35,18,0.57110323
35,19,0.57302274
35,20,0.56975881
35,21,0.56677138
36,7,0.54560338
36,8,0.54434557
36,9,0.54990547
36,10,0.54899871
36,11,0.54698678
36,12,0.54911934
36,13,0.55100802
36,14,0.54911008
36,15,0.54766224
36,16,0.54535006
36,17,0.54182161
36,18,0.54234830
36,19,0.54589035
36,20,0.54471107
36,21,0.54587781
37,7,0.47465818
37,8,0.46919567
37,9,0.48162670
37,10,0.49016765
37,11,0.48825705
37,12,0.48547590
37,13,0.48706550
37,14,0.48645127
37,15,0.48833690
37,16,0.48808790
37,17,0.48330358
37,18,0.47393943
37,19,0.46980223
37,20,0.47034437
37,21,0.47274521
38,7,0.49648978
38,8,0.50331525
38,9,0.51936908
38,10,0.52401793
38,11,0.52286412
38,12,0.52207861
38,13,0.52200433
38,14,0.51982864
38,15,0.51960191
38,16,0.51728892
38,17,0.50580812
38,18,0.49734022
38,19,0.49586202
38,20,0.49423367
38,21,0.49432375
39,7,0.56093950
39,8,0.55074354
39,9,0.52078317
39,10,0.50598236
39,11,0.49320564
39,12,0.49757598
39,13,0.48707297
39,14,0.48609466
39,15,0.49082991
39,16,0.50057803
39,17,0.54573821
39,18,0.59197585
39,19,0.62468445
39,20,0.61882125
39,21,0.61268274
41,7,0.35137609
41,8,0.42759368
41,9,0.52648572
41,10,0.53210972
41,11,0.51651011
41,12,0.50822874
41,13,0.50551823
41,14,0.49396111
41,15,0.48904228
41,16,0.47179151
41,17,0.38185536
41,18,0.33050103
41,19,0.33616093
41,20,0.35008713
41,21,0.36007591
42,7,0.40469170
42,8,0.45503998
42,9,0.47790520
42,10,0.46941354
42,11,0.47937266
42,12,0.49716319
42,13,0.50032350
42,14,0.48300298
42,15,0.47976620
42,16,0.47105398
42,17,0.44081618
42,18,0.41812206
42,19,0.43086710
42,20,0.44334145
42,21,0.45000403
45,7,0.32364127
45,8,0.37048524
45,9,0.49025134
45,10,0.52677223
45,11,0.52458107
45,12,0.52404071
45,13,0.50460825
45,14,0.47734094
45,15,0.46408372
45,16,0.48046442
45,17,0.35330113
45,18,0.27736932
45,19,0.29572821
45,20,0.31588194
45,21,0.32331315
46,7,0.49291597
46,8,0.45456021
46,9,0.46964906
46,10,0.46059677
46,11,0.45706674
46,12,0.46939562
46,13,0.47940877
46,14,0.47431732
46,15,0.47500682
46,16,0.48062636
46,17,0.48913567
46,18,0.50886968
46,19,0.53732687
46,20,0.55207251
46,21,0.55329198
47,7,0.34732396
47,8,0.40246582
47,9,0.45892990
47,10,0.47740199
47,11,0.47471192
47,12,0.46851248
47,13,0.46837399
47,14,0.46307058
47,15,0.44129698
47,16,0.41685398
47,17,0.37014242
47,18,0.34272896
47,19,0.33728580
47,20,0.34287616
47,21,0.34598232
48,7,0.33113951
48,8,0.41404537
48,9,0.53751032
48,10,0.57150868
48,11,0.56049032
48,12,0.53208463
48,13,0.54569182
48,14,0.55811478
48,15,0.55247012
48,16,0.50751446
48,17,0.37816719
48,18,0.30570877
48,19,0.33429131
48,20,0.35445387
48,21,0.35823464
49,7,0.44202319
49,8,0.43478957
49,9,0.43473966
49,10,0.43330792
49,11,0.43911660
49,12,0.43952785
49,13,0.44033857
49,14,0.43887627
49,15,0.43603144
49,16,0.43404132
49,17,0.41519510
49,18,0.40735556
49,19,0.43764215
49,20,0.45581283
49,21,0.46366311
50,7,0.61185745
50,8,0.47731506
50,9,0.37699078
50,10,0.38388757
50,11,0.40612465
50,12,0.44731913
50,13,0.46392818
50,14,0.44878148
50,15,0.40148603
50,16,0.41485119
50,17,0.60452855
50,18,0.69479549
50,19,0.69847444
50,20,0.69512891
50,21,0.68909521
51,7,0.36553755
51,8,0.46182539
51,9,0.55793461
51,10,0.58074864
51,11,0.56716074
51,12,0.54227733
51,13,0.53149681
51,14,0.52380221
51,15,0.50573819
51,16,0.46034831
51,17,0.34277001
51,18,0.32661710
51,19,0.34591142
51,20,0.35515955
51,21,0.35500381
54,7,0.64007598
54,8,0.49871370
54,9,0.35227487
54,10,0.34434193
54,11,0.37582348
54,12,0.41207544
54,13,0.43086646
54,14,0.43099424
54,15,0.43711638
54,16,0.43279102
54,17,0.48515123
54,18,0.57765226
54,19,0.63653897
54,20,0.64571235
54,21,0.66139002
55,7,0.53668141
55,8,0.40218701
55,9,0.28299689
55,10,0.36536876
55,11,0.40895735
55,12,0.40467522
55,13,0.40861632
55,14,0.41057302
55,15,0.39815497
55,16,0.37732306
55,17,0.42966351
55,18,0.53208102
55,19,0.56353504
55,20,0.56561986
55,21,0.58079843
56,7,0.44693995
56,8,0.48513568
56,9,0.39594331
56,10,0.36874135
56,11,0.37968122
56,12,0.38128077
56,13,0.39499488
56,14,0.39433408
56,15,0.38944180
56,16,0.36923150
56,17,0.31605844
56,18,0.35932518
56,19,0.39013111
56,20,0.40467355
56,21,0.41185756
57,7,0.45034860
57,8,0.46432742
57,9,0.54671312
57,10,0.54192059
57,11,0.53636600
57,12,0.52739340
57,13,0.52140260
57,14,0.52673515
57,15,0.52198422
57,16,0.49586902
57,17,0.43798062
57,18,0.43066342
57,19,0.48475368
57,20,0.50825095
57,21,0.51508479
58,7,0.44001045
58,8,0.41696218
58,9,0.39449180
58,10,0.38221742
58,11,0.38103889
58,12,0.38165904
58,13,0.38599014
58,14,0.39030363
58,15,0.39277168
58,16,0.38619653
58,17,0.38865653
58,18,0.40997084
58,19,0.43035907
58,20,0.44197586
58,21,0.44571655
59,7,0.41674668
59,8,0.38432292
59,9,0.33813007
59,10,0.32130555
59,11,0.31738766
59,12,0.32665142
59,13,0.33684967
59,14,0.33673423
59,15,0.33787824
59,16,0.33985658
59,17,0.34449729
59,18,0.36480977
59,19,0.39125416
59,20,0.40743385
59,21,0.41366527
60,7,0.37216916
60,8,0.40565035
60,9,0.52555091
60,10,0.54731253
60,11,0.55490445
60,12,0.55456324
60,13,0.59649321
60,14,0.64438220
60,15,0.61135633
60,16,0.53973769
60,17,0.45588141
60,18,0.42817950
60,19,0.45714987
60,20,0.47588066
60,21,0.48392025
61,7,0.43060134
61,8,0.43505788
61,9,0.48005252
61,10,0.49765318
61,11,0.49309068
61,12,0.48033218
61,13,0.49783794
61,14,0.50589483
61,15,0.48743910
61,16,0.44653312
61,17,0.40071184
61,18,0.41171508
61,19,0.45688848
61,20,0.47475900
61,21,0.47261024
62,7,0.29879269
62,8,0.32359833
62,9,0.31173166
62,10,0.33904630
62,11,0.36226818
62,12,0.35671470
62,13,0.34064284
62,14,0.32876516
62,15,0.36924591
62,16,0.39127880
62,17,0.34599569
62,18,0.30045822
62,19,0.30708716
62,20,0.31403308
62,21,0.31577722
63,7,0.35738839
63,8,0.42662241
63,9,0.54902223
63,10,0.57564523
63,11,0.56162766
63,12,0.56131518
63,13,0.56161654
63,14,0.56543562
63,15,0.55990878
63,16,0.52985698
63,17,0.43043641
63,18,0.34748246
63,19,0.33638796
63,20,0.33863956
63,21,0.34153050
64,7,0.39423971
64,8,0.41911322
64,9,0.53041769
64,10,0.56458112
64,11,0.54903205
64,12,0.52892225
64,13,0.53112698
64,14,0.54515251
64,15,0.54151792
64,16,0.52513578
64,17,0.42989538
64,18,0.35911302
64,19,0.39381029
64,20,0.41952015
64,21,0.43781241
65,7,0.42014417
65,8,0.44504014
65,9,0.53018570
65,10,0.57750892
65,11,0.58700810
65,12,0.56650951
65,13,0.54846105
65,14,0.54017886
65,15,0.54058044
65,16,0.48909504
65,17,0.43010278
65,18,0.43698862
65,19,0.46035474
65,20,0.48989909
65,21,0.50259317
66,7,0.50662293
66,8,0.45281002
66,9,0.42911407
66,10,0.41407646
66,11,0.41119607
66,12,0.40026392
66,13,0.40949212
66,14,0.41203473
66,15,0.41806422
66,16,0.40467766
66,17,0.36658568
66,18,0.39252101
66,19,0.44960874
66,20,0.48740815
66,21,0.50457535
67,7,0.37436524
67,8,0.32575161
67,9,0.35179345
67,10,0.40451187
67,11,0.40893355
67,12,0.39779439
67,13,0.39491427
67,14,0.39389123
67,15,0.40787018
67,16,0.41281132
67,17,0.38533183
67,18,0.35268435
67,19,0.37007134
67,20,0.39119142
67,21,0.40683701
68,7,0.40829740
68,8,0.46830561
68,9,0.56947829
68,10,0.56888827
68,11,0.56028940
68,12,0.55787820
68,13,0.55489626
68,14,0.54828600
68,15,0.53556797
68,16,0.51449795
68,17,0.44145847
68,18,0.40371402
68,19,0.41833457
68,20,0.42885010
68,21,0.43050832
69,7,0.66281178
69,8,0.54105501
69,9,0.36836141
69,10,0.36690375
69,11,0.35715009
69,12,0.36541568
69,13,0.38070775
69,14,0.38691734
69,15,0.32692115
69,16,0.31823395
69,17,0.47839275
69,18,0.60523184
69,19,0.59157459
69,20,0.57995947
69,21,0.62107520
70,7,0.58431626
70,8,0.40241022
70,9,0.30574169
70,10,0.33017192
70,11,0.33420393
70,12,0.34878567
70,13,0.38925225
70,14,0.42223931
70,15,0.38729867
70,16,0.50803710
70,17,0.64762593
70,18,0.67601866
70,19,0.62751956
70,20,0.62696040
70,21,0.67454415
71,7,0.51939267
71,8,0.47575354
71,9,0.40492737
71,10,0.37559596
71,11,0.38386960
71,12,0.40726468
71,13,0.40946651
71,14,0.40366650
71,15,0.40925560
71,16,0.40737153
71,17,0.41897756
71,18,0.45646946
71,19,0.48826303
71,20,0.50177961
71,21,0.50473862
72,7,0.62295347
72,8,0.54132544
72,9,0.44420627
72,10,0.39136826
72,11,0.38156520
72,12,0.38667581
72,13,0.39484861
72,14,0.39350745
72,15,0.40524009
72,16,0.43783484
72,17,0.49403195
72,18,0.57643080
72,19,0.61073245
72,20,0.62805550
72,21,0.63758634
73,7,0.59298676
73,8,0.47383584
73,9,0.41304966
73,10,0.42956109
73,11,0.43744503
73,12,0.44431060
73,13,0.43917663
73,14,0.43482875
73,15,0.43301087
73,16,0.43770581
73,17,0.46636949
73,18,0.50011918
73,19,0.53333065
73,20,0.56228906
73,21,0.58320593
74,7,0.57822431
74,8,0.52488124
74,9,0.44479005
74,10,0.44391454
74,11,0.45578454
74,12,0.47735966
74,13,0.47386213
74,14,0.46201588
74,15,0.43771184
74,16,0.40293009
74,17,0.43980357
74,18,0.52935480
74,19,0.56602583
74,20,0.57065553
74,21,0.57316891
75,7,0.33774074
75,8,0.41129523
75,9,0.49674273
75,10,0.50477807
75,11,0.49499573
75,12,0.46445183
75,13,0.46316840
75,14,0.47289032
75,15,0.46126055
75,16,0.42035803
75,17,0.36812820
75,18,0.34164704
75,19,0.33993627
75,20,0.34279212
75,21,0.34603006
76,7,0.40568228
76,8,0.46033284
76,9,0.51719581
76,10,0.51546278
76,11,0.49995851
76,12,0.51096335
76,13,0.50263017
76,14,0.50331795
76,15,0.50530281
76,16,0.48580958
76,17,0.43304187
76,18,0.42303097
76,19,0.43148515
76,20,0.43796892
76,21,0.42331605
77,7,0.45010872
77,8,0.50440389
77,9,0.53799254
77,10,0.54080299
77,11,0.51861819
77,12,0.50231941
77,13,0.49989083
77,14,0.49995857
77,15,0.49296562
77,16,0.47292242
77,17,0.44161789
77,18,0.44839197
77,19,0.44618655
77,20,0.43801126
77,21,0.42810463
80,7,0.44712642
80,8,0.45898951
80,9,0.47499398
80,10,0.47633986
80,11,0.47605315
80,12,0.44952477
80,13,0.45860690
80,14,0.47451440
80,15,0.47383512
80,16,0.47265030
